x,y,yaw,km,kf
12.0,-4.0,0.0,0.0,0.1667
15.0,-4.0,0.0,0.0,0.1067
18.0,-4.0,0.0,0.0,0.0741
21.0,-4.0,-0.0,0.0,0.0544
3.0,-2.0,0.0,0.0,0.4484
6.0,-2.0,0.0,0.0,0.3333
9.0,-2.0,0.0,0.0,0.1481
12.0,-2.0,0.0,0.0,0.0833
15.0,-2.0,0.0,0.0,0.0533
18.0,-2.0,0.0,0.0,0.037
21.0,-2.0,-0.0,0.0,0.0272
3.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0
3.0,2.0,0.0,0.0,0.4484
6.0,2.0,0.0,0.0,0.3333
9.0,2.0,0.0,0.0,0.1481
12.0,2.0,0.0,0.0,0.0833
15.0,2.0,-0.0,0.0,0.0533
18.0,2.0,0.0,0.0,0.037
21.0,2.0,0.0,0.0,0.0272
3.0,4.0,0.0,0.0,0.4484
6.0,4.0,0.0,0.0,0.4484
9.0,4.0,0.0,0.0,0.2963
12.0,4.0,0.0,0.0,0.1667
15.0,4.0,-0.0,0.0,0.1067
18.0,4.0,0.0,0.0,0.0741
21.0,4.0,0.0,0.0,0.0544
3.0,6.0,0.0,0.0,0.4484
6.0,6.0,0.0,0.0,0.4484
9.0,6.0,0.0,0.0,0.4444
12.0,6.0,0.0,0.0,0.25
15.0,6.0,-0.0,0.0,0.16
18.0,6.0,0.0,0.0,0.1111
21.0,6.0,-0.0,0.0,0.0816
3.0,8.0,0.0,0.0,0.4484
6.0,8.0,0.0,0.0,0.4484
9.0,8.0,0.0,0.0,0.4484
12.0,8.0,0.0,0.0,0.3333
15.0,8.0,-0.0,0.0,0.2133
18.0,8.0,0.0,0.0,0.1481
21.0,8.0,0.0,0.0,0.1088
3.0,10.0,0.0,0.0,0.4484
6.0,10.0,0.0,0.0,0.4484
9.0,10.0,-0.0,0.0,0.4484
12.0,10.0,0.0,0.0,0.4167
15.0,10.0,-0.0,0.0,0.2667
18.0,10.0,-0.0,0.0,0.1852
21.0,10.0,-0.0,0.0,0.1361
3.0,-10.0,0.2182,0.0005,0.4484
6.0,-10.0,0.2182,0.0018,0.4484
9.0,-10.0,0.2182,0.0031,0.4484
12.0,-10.0,0.2182,0.0042,0.4484
15.0,-10.0,0.2182,0.0048,0.3032
18.0,-10.0,0.2182,0.0051,0.2182
21.0,-10.0,0.2182,0.0053,0.1659
3.0,-8.0,0.2182,0.001,0.4484
6.0,-8.0,0.2182,0.0031,0.4484
9.0,-8.0,0.2182,0.0049,0.4484
12.0,-8.0,0.2182,0.006,0.379
15.0,-8.0,0.2182,0.0065,0.2535
18.0,-8.0,0.2182,0.0066,0.1837
21.0,-8.0,0.2182,0.0064,0.1406
3.0,-6.0,0.2182,0.0022,0.4484
6.0,-6.0,0.2182,0.0058,0.4484
9.0,-6.0,0.2182,0.008,0.4484
12.0,-6.0,0.2182,0.0087,0.3014
15.0,-6.0,0.2182,0.0086,0.2039
18.0,-6.0,0.2182,0.0082,0.1492
21.0,-6.0,0.2182,0.0077,0.1153
3.0,-4.0,0.2182,0.0062,0.4484
6.0,-4.0,0.2182,0.012,0.4484
9.0,-4.0,0.2182,0.0131,0.3674
12.0,-4.0,0.2182,0.0123,0.2239
15.0,-4.0,0.2182,0.0111,0.1543
18.0,-4.0,0.2182,0.01,0.1148
21.0,-4.0,0.2182,0.0089,0.0899
3.0,-2.0,0.2182,0.024,0.4484
6.0,-2.0,0.2182,0.0247,0.4477
9.0,-2.0,0.2182,0.0199,0.2295
12.0,-2.0,0.2182,0.0162,0.1463
15.0,-2.0,0.2182,0.0134,0.1046
18.0,-2.0,0.2182,0.0115,0.0803
21.0,-2.0,0.2182,0.01,0.0646
3.0,0.0,0.2182,0.0736,0.2751
6.0,0.0,0.2182,0.0368,0.1375
9.0,-0.0,0.2182,0.0245,0.0917
12.0,0.0,0.2182,0.0184,0.0688
15.0,-0.0,0.2182,0.0147,0.055
18.0,-0.0,0.2182,0.0123,0.0458
21.0,0.0,0.2182,0.0105,0.0393
3.0,2.0,0.2182,0.0284,0.4484
6.0,2.0,0.2182,0.0282,0.1727
9.0,2.0,0.2182,0.022,0.0462
12.0,2.0,0.2182,0.0175,0.0088
15.0,2.0,0.2182,0.0143,0.0054
18.0,2.0,0.2182,0.0121,0.0114
21.0,2.0,0.2182,0.0104,0.014
3.0,4.0,0.2182,0.0071,0.4484
6.0,4.0,0.2182,0.0142,0.4484
9.0,4.0,0.2182,0.0153,0.184
12.0,4.0,0.2182,0.0141,0.0863
15.0,4.0,0.2182,0.0125,0.0442
18.0,4.0,0.2182,0.011,0.0231
21.0,4.0,0.2182,0.0098,0.0113
3.0,6.0,0.2182,0.0025,0.4484
6.0,6.0,0.2182,0.0068,0.4484
9.0,6.0,0.2182,0.0095,0.3219
12.0,6.0,0.2182,0.0102,0.1639
15.0,6.0,0.2182,0.01,0.0939
18.0,6.0,0.2182,0.0094,0.0576
21.0,6.0,0.2182,0.0087,0.0367
3.0,8.0,0.2182,0.0011,0.4484
6.0,8.0,0.2182,0.0035,0.4484
9.0,8.0,0.2182,0.0058,0.4484
12.0,8.0,0.2182,0.0071,0.2414
15.0,8.0,0.2182,0.0076,0.1435
18.0,8.0,0.2182,0.0077,0.092
21.0,8.0,0.2182,0.0074,0.062
3.0,10.0,0.2182,0.0006,0.4484
6.0,10.0,0.2182,0.002,0.4484
9.0,10.0,0.2182,0.0036,0.4484
12.0,10.0,0.2182,0.0049,0.319
15.0,10.0,0.2182,0.0057,0.1931
18.0,10.0,0.2182,0.0061,0.1265
21.0,10.0,0.2182,0.0061,0.0873
3.0,-10.0,0.4363,0.0011,0.4484
6.0,-10.0,0.4363,0.0035,0.4484
9.0,-10.0,0.4363,0.0061,0.4484
12.0,-10.0,0.4363,0.008,0.4259
15.0,-10.0,0.4363,0.0092,0.2911
18.0,-10.0,0.4363,0.0099,0.215
21.0,-10.0,0.4363,0.0101,0.1674
